keys,en,cs,sk,de,es,fi,fr,nb,pl,sv,pt_BR,pt_PT,it,da,nl,ja,ko,tr,vi,id
HOME_STREAK,{count} correct answers in a row,{count} příkladů správně v řadě,{count} príkladov správne v rade,{count} richtige Antworten in Folge,{count} respuestas correctas seguidas,{count} oikeaa vastausta putkeen,{count} bonnes réponses d'affilée,{count} riktige svar på rad,{count} poprawnych odpowiedzi z rzędu,{count} rätta svar i rad,{count} respostas corretas seguidas,{count} respostas certas seguidas,{count} risposte corrette di fila,{count} rigtige svar i træk,{count} goede antwoorden op rij,{count}問連続正解,{count}문제 연속 정답,Art arda {count} doğru cevap,{count} câu trả lời đúng liên tiếp,{count} jawaban benar berturut-turut
TROPHY_TITLE,Records,Rekordy,Rekordy,Rekorde,Récords,Ennätykset,Records,Rekorder,Rekordy,Rekord,Recordes,Recordes,Record,Rekorder,Records,記録,기록,Rekorlar,Kỷ lục,Rekor
TROPHY_BEST,Best streak: {count},Nejlepší série: {count},Najlepšia séria: {count},Beste Serie: {count},Mejor racha: {count},Paras putki: {count},Meilleure série : {count},Beste rekke: {count},Najlepsza seria: {count},Bästa svit: {count},Melhor sequência: {count},Melhor série: {count},Serie migliore: {count},Bedste række: {count},Beste reeks: {count},最高連続記録：{count},최고 연속 기록: {count},En iyi seri: {count},Chuỗi tốt nhất: {count},Rangkaian terbaik: {count}
TROPHY_ACHIEVEMENT_PROGRESS,{current}/{target},{current}/{target},{current}/{target},{current}/{target},{current}/{target},{current}/{target},{current}/{target},{current}/{target},{current}/{target},{current}/{target},{current}/{target},{current}/{target},{current}/{target},{current}/{target},{current}/{target},{current}/{target},{current}/{target},{current}/{target},{current}/{target},{current}/{target}
ACHIEVEMENT_FIRST_STEPS_TITLE,First Steps,První kroky,Prvé kroky,Erste Schritte,Primeros pasos,Ensiaskeleet,Premiers pas,Første skritt,Pierwsze kroki,Första stegen,Primeiros passos,Primeiros passos,Primi passi,De første skridt,Eerste stappen,はじめの一歩,첫걸음,İlk Adımlar,Những bước đầu tiên,Langkah Pertama
ACHIEVEMENT_FIRST_STEPS_DESC,Finish your first round,Dokonči své první kolo,Dokonči svoje prvé kolo,Beende deine erste Runde,Termina tu primera ronda,Suorita ensimmäinen kierros,Termine ta première partie,Fullfør din første runde,Ukończ swoją pierwszą rundę,Klara din första omgång,Conclua sua primeira rodada,Conclui a tua primeira ronda,Completa il tuo primo turno,Gennemfør din første runde,Voltooi je eerste ronde,最初のラウンドをクリアしよう,첫 라운드를 완료하세요,İlk turunu tamamla,Hoàn thành vòng đầu tiên,Selesaikan ronde pertamamu
ACHIEVEMENT_STREAK_TITLE,Streak {count},Série {count},Séria {count},Serie {count},Racha {count},Putki {count},Série {count},Rekke {count},Seria {count},Svit {count},Sequência de {count},Série de {count},Serie di {count},Række på {count},Reeks van {count},{count}問連続,{count}문제 연속,{count}'lik Seri,Chuỗi {count},Rangkaian {count}
ACHIEVEMENT_STREAK_DESC,Answer {count} in a row,Odpověz {count} příkladů v řadě,Odpovedz {count} príkladov v rade,Beantworte {count} hintereinander richtig,Acierta {count} seguidas,Vastaa {count} peräkkäin oikein,Réponds juste {count} fois de suite,Svar riktig {count} ganger på rad,Odpowiedz poprawnie {count} razy z rzędu,Svara rätt {count} gånger i rad,Acerte {count} respostas seguidas,Responde certo {count} vezes seguidas,Rispondi correttamente {count} volte di fila,Svar rigtigt {count} gange i træk,Beantwoord er {count} op rij goed,{count}問連続で正解しよう,{count}문제 연속으로 정답을 맞히세요,Art arda {count} doğru cevap ver,Trả lời đúng {count} câu liên tiếp,Jawab benar {count} kali berturut-turut
ACHIEVEMENT_EXPERIENCE_TITLE,{count} XP,{count} XP,{count} XP,{count} XP,{count} XP,{count} XP,{count} XP,{count} XP,{count} XP,{count} XP,{count} XP,{count} XP,{count} PE,{count} XP,{count} XP,{count} XP,{count} XP,{count} XP,{count} XP,{count} XP
ACHIEVEMENT_EXPERIENCE_DESC,Answer {count} examples correctly,Odpověz správně {count} příkladů,Odpovedz správne {count} príkladov,Beantworte {count} Aufgaben richtig,Acierta {count} ejercicios,Vastaa {count} tehtävään oikein,Réussis {count} calculs,Svar riktig på {count} oppgaver,Odpowiedz poprawnie na {count} zadań,Svara rätt på {count} uppgifter,Acerte {count} exercícios,Responde corretamente a {count} exercícios,Rispondi correttamente a {count} esercizi,Svar rigtigt på {count} opgaver,Beantwoord {count} sommen goed,{count}問正解しよう,{count}문제에 정답을 맞히세요,{count} soruyu doğru cevapla,Trả lời đúng {count} phép tính,Jawab {count} soal dengan benar
ACHIEVEMENT_COLLECTION_BODY_COLOR_TITLE,Body color collection,Sbírka barev těla,Zbierka farieb tela,Körperfarben-Sammlung,Colección de colores de cuerpo,Vartalonvärikokoelma,Collection de couleurs de corps,Kroppsfargesamling,Kolekcja kolorów ciała,Kroppsfärgssamling,Coleção de cores do corpo,Coleção de cores do corpo,Collezione colori del corpo,Samling af kropsfarver,Verzameling lichaamskleuren,体の色コレクション,몸 색상 컬렉션,Gövde rengi koleksiyonu,Bộ sưu tập màu cơ thể,Koleksi warna tubuh
ACHIEVEMENT_COLLECTION_BODY_COLOR_DESC,Unlock all {count} body colors,Odemkni všech {count} barev těla,Odomkni všetkých {count} farieb tela,Schalte alle {count} Körperfarben frei,Desbloquea los {count} colores de cuerpo,Avaa kaikki {count} vartalonväriä,Débloque les {count} couleurs de corps,Lås opp alle {count} kroppsfargene,Odblokuj wszystkie {count} kolorów ciała,Lås upp alla {count} kroppsfärger,Desbloqueie todas as {count} cores do corpo,Desbloqueia todas as {count} cores do corpo,Sblocca tutti i {count} colori del corpo,Lås op for alle {count} kropsfarver,Ontgrendel alle {count} lichaamskleuren,体の色を{count}色すべてアンロックしよう,몸 색상 {count}개를 모두 잠금 해제하세요,{count} gövde renginin hepsini aç,Mở khóa tất cả {count} màu cơ thể,Buka semua {count} warna tubuh
ACHIEVEMENT_COLLECTION_BELLY_COLOR_TITLE,Belly color collection,Sbírka barev bříška,Zbierka farieb bruška,Bauchfarben-Sammlung,Colección de colores de barriga,Mahanvärikokoelma,Collection de couleurs de ventre,Magefargesamling,Kolekcja kolorów brzuszka,Magfärgssamling,Coleção de cores da barriga,Coleção de cores da barriga,Collezione colori della pancia,Samling af mavefarver,Verzameling buikkleuren,おなかの色コレクション,배 색상 컬렉션,Karın rengi koleksiyonu,Bộ sưu tập màu bụng,Koleksi warna perut
ACHIEVEMENT_COLLECTION_BELLY_COLOR_DESC,Unlock all {count} belly colors,Odemkni všech {count} barev bříška,Odomkni všetkých {count} farieb bruška,Schalte alle {count} Bauchfarben frei,Desbloquea los {count} colores de barriga,Avaa kaikki {count} mahanväriä,Débloque les {count} couleurs de ventre,Lås opp alle {count} magefargene,Odblokuj wszystkie {count} kolorów brzuszka,Lås upp alla {count} magfärger,Desbloqueie todas as {count} cores da barriga,Desbloqueia todas as {count} cores da barriga,Sblocca tutti i {count} colori della pancia,Lås op for alle {count} mavefarver,Ontgrendel alle {count} buikkleuren,おなかの色を{count}色すべてアンロックしよう,배 색상 {count}개를 모두 잠금 해제하세요,{count} karın renginin hepsini aç,Mở khóa tất cả {count} màu bụng,Buka semua {count} warna perut
ACHIEVEMENT_COLLECTION_HAT_TITLE,Hat collection,Sbírka čepic,Zbierka čiapok,Mützen-Sammlung,Colección de gorros,Hattukokoelma,Collection de chapeaux,Luesamling,Kolekcja czapek,Mösssamling,Coleção de chapéus,Coleção de chapéus,Collezione cappelli,Hattesamling,Hoedenverzameling,帽子コレクション,모자 컬렉션,Şapka koleksiyonu,Bộ sưu tập mũ,Koleksi topi
ACHIEVEMENT_COLLECTION_HAT_DESC,Unlock all {count} hats,Odemkni všech {count} čepic,Odomkni všetkých {count} čiapok,Schalte alle {count} Mützen frei,Desbloquea los {count} gorros,Avaa kaikki {count} hattua,Débloque les {count} chapeaux,Lås opp alle {count} luene,Odblokuj wszystkie {count} czapek,Lås upp alla {count} mössor,Desbloqueie todos os {count} chapéus,Desbloqueia todos os {count} chapéus,Sblocca tutti i {count} cappelli,Lås op for alle {count} hatte,Ontgrendel alle {count} hoeden,帽子を{count}個すべてアンロックしよう,모자 {count}개를 모두 잠금 해제하세요,{count} şapkanın hepsini aç,Mở khóa tất cả {count} chiếc mũ,Buka semua {count} topi
ACHIEVEMENT_COLLECTION_GLASSES_TITLE,Glasses collection,Sbírka brýlí,Zbierka okuliarov,Brillen-Sammlung,Colección de gafas,Silmälasikokoelma,Collection de lunettes,Brillesamling,Kolekcja okularów,Glasögonsamling,Coleção de óculos,Coleção de óculos,Collezione occhiali,Brillesamling,Brillenverzameling,メガネコレクション,안경 컬렉션,Gözlük koleksiyonu,Bộ sưu tập kính,Koleksi kacamata
ACHIEVEMENT_COLLECTION_GLASSES_DESC,Unlock all {count} glasses,Odemkni všech {count} brýlí,Odomkni všetkých {count} okuliarov,Schalte alle {count} Brillen frei,Desbloquea las {count} gafas,Avaa kaikki {count} silmälasit,Débloque les {count} lunettes,Lås opp alle {count} brillene,Odblokuj wszystkie {count} okularów,Lås upp alla {count} glasögon,Desbloqueie todos os {count} óculos,Desbloqueia todos os {count} óculos,Sblocca tutti i {count} occhiali,Lås op for alle {count} briller,Ontgrendel alle {count} brillen,メガネを{count}個すべてアンロックしよう,안경 {count}개를 모두 잠금 해제하세요,{count} gözlüğün hepsini aç,Mở khóa tất cả {count} chiếc kính,Buka semua {count} kacamata
ACHIEVEMENT_COLLECTION_NECKLACE_TITLE,Necklace collection,Sbírka řetízků,Zbierka retiazok,Ketten-Sammlung,Colección de collares,Kaulakorukokoelma,Collection de colliers,Halskjedesamling,Kolekcja naszyjników,Halsbandssamling,Coleção de colares,Coleção de colares,Collezione collane,Halskædesamling,Kettingenverzameling,ネックレスコレクション,목걸이 컬렉션,Kolye koleksiyonu,Bộ sưu tập vòng cổ,Koleksi kalung
